기준_년분기_코드,행정동_코드_x,행정동_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20241,11110515,청운효자동,LH,상권확장,95,54,103,52,3586210,1518780,2067431,686977,490851,552372,613608,525910,716492,817468,725357,505690,512284,604255,421155,503290,510105,517080,516779,514513,519960,504484,3780222,8,936122000,301099000,68662000,20053000,32818000,8643000,32451000,27472000,37078000,21677000,386169000
20242,11110515,청운효자동,LH,상권확장,96,54,105,52,3697084,1515525,2181560,763570,499676,569382,626972,536253,701232,803292,762842,558910,540379,613610,418051,524873,534125,536715,541327,538540,520966,500538,3780222,8,2984287000,987052000,240205000,49155000,111379000,24257000,92645000,90697000,109604000,72610000,1206683000
20243,11110515,청운효자동,LH,상권확장,98,54,107,52,3461402,1444215,2017188,670093,458637,537247,595906,525387,674133,787975,709468,487547,483275,584950,408187,492762,488989,502744,503213,504487,490510,478697,3780222,8,898067000,312107000,62790000,16762000,37795000,21220000,28965000,33235000,25797000,23625000,335771000
20244,11110515,청운효자동,LH,상권확장,100,55,109,52,3580355,1467219,2113136,704962,487537,553130,616048,532655,686022,788647,723350,529489,525112,602829,410927,507324,504102,519081,521540,513315,516811,498183,3780222,8,3191673000,980463000,270541000,73127000,107450000,85265000,107098000,96659000,93632000,81271000,1296167000
20241,11110530,사직동,HH,정체,114,59,103,52,3896639,1797562,2099076,355366,602055,805513,785468,645829,702408,513421,812849,736883,739694,757536,336256,563865,592874,624384,600819,590721,478166,445810,5007768,9,18634770000,562953000,188255000,13683000,637312000,631852000,55967000,121434000,515815000,13748554000,2158945000
20242,11110530,사직동,HH,정체,115,59,105,52,3893005,1764792,2128214,372902,592181,803676,794677,638981,690588,477712,823510,758240,746787,761577,325178,569507,598825,587285,607515,611798,480060,438015,5007768,9,53906947000,1749038000,648230000,15215000,2230282000,1469377000,176716000,368211000,1647261000,38761182000,6841435000
20243,11110530,사직동,HH,정체,117,59,107,52,3743471,1708012,2035460,336632,579438,768955,774539,624369,659538,454406,796215,719456,711579,742331,319482,557362,565519,579804,583718,584846,455097,417124,5007768,9,17930529000,627454000,197481000,5758000,808853000,370551000,88679000,132817000,578039000,12749394000,2371503000
20244,11110530,사직동,HH,정체,119,59,109,52,4046716,1821772,2224944,376231,632016,805056,821914,671951,739546,461439,831367,789436,809924,818982,335569,591672,596727,608200,616836,618221,541067,473994,5007768,9,53239121000,1737487000,806218000,11556000,2095967000,1152597000,248910000,434646000,1933439000,37394300000,7424001000
20241,11110540,삼청동,LH,상권확장,96,57,103,52,890462,420849,469613,99522,140541,151334,173713,137338,188014,165918,179261,162506,162274,141671,78830,124758,126229,131771,128889,131499,129992,117325,3442534,7,1038579000,180346000,140413000,19381000,18491000,4063000,1540000,17526000,91093000,31145000,534581000
20242,11110540,삼청동,LH,상권확장,98,57,105,52,1014093,472938,541156,126746,156946,173859,192565,157783,206194,168373,204579,197883,193221,167218,82818,139888,145822,148139,151296,152066,148149,128732,3442534,7,3959941000,740088000,494003000,54751000,54658000,14997000,20482000,65774000,395333000,99341000,2020514000
